8 EIXOS DE TECNOLOGIA E ECONOMIA CRIATIVA																
DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																
COORDENAÇÃO PEDAGÓGICA - CPED																
PORTFÓLIO 2026																
PORTFÓLIO  DE CURSOS SENAC DF: TI 																
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Valores	Observações / Orientações	UNIDADE QUE PODE SER RODADO	Compatível com bolsa	Comercial*	PCN	PCR
Comunicação	Presencial 	Técnico em Publicidade (900h)	900	370	128704	2024	Habilitação Técnica	2025	2024.000003151-12	2025 | R$ 5.875,00	ok	"RESOLUÇÃO SENAC AR/DF 1638/2025
CEP JESSÉ FREIRE"	SIM		SIM	Não
Comunicação	Presencial 	Técnico em Publicidade (Ensino Médio)	900	370	128704	2024	Habilitação Técnica	2025	2024.000003151-12	2025 | R$ 5.875,00	ok.	"RESOLUÇÃO SENAC AR/DF 1638/2025
CEP JESSÉ FREIRE"				
Artes	Presencial 	Fotografia e Filmagem com Drone	32	382.84	134480	2023	Aperfeiçoamento	2025	2025.000000569-22	R$ 550,00	Revisar código SIG	Bloco da Mari				
Comunicação	Presencial 	Técnico em multimídia (ENSINO MÉDIO)	800	351	127943	2018	Habilitação Técnica	2025	2025.000002676-21	R$ 4.740,00	ok.	"RESOLUÇÃO SENAC AR/DF 1640/2025
CEP JESSÉ FREIRE"				
Artes	Presencial 	Técnico em Produção Cultural (ENSINO MÉDIO)	800	3175	134808	2024	Habilitação Técnica	2025	2025.000002698-37	R$ 4.651,00	ok.	"RESOLUÇÃO SENAC AR/DF 1642/2025
CEP JESSÉ FREIRE"				
Comunicação	Presencial 	Técnico em produção de áudio e vídeo (ENSINO MÉDIO)	1200	3732	128434	2024	Habilitação Técnica	2025	2025.000002705-09	R$ 7.015,00	ok.	Jessé Freire				
Comunicação	Presencial 	Técnico em Publicidade (Ensino Médio)	900	370	128704	2024	Habilitação Técnica	2025	2025.000002682-70	R$ 4.935,00	ok.	Jessé Freire				
Design	Presencial 	Técnico em Design de Interiores (balcão)	1200	2767	134855	2021	Habilitação Técnica	2025	2023.000001463-20	2026 | R$ 6.810,00	Em processo de reprecificação e faltam assinaturas no Plano de Curso (Diretoria)					
Artes 	Presencial 	Fotografia comercial com celular (36h)	36	382.62	a cadastrar	2024	Aperfeiçoamento	2024	2024.000002998-26	2025 | R$ 531,00	Sem cadastro no SIG DR		SIM		SIM	Não
Artes 	Presencial 	Fotografia de propaganda e publicidade (72h)	72	382.40 	a cadastrar	2021	Aperfeiçoamento	2024	2024.000002909-51	2025 / R$ 923,00	Sem cadastro no SIG DR		SIM	NC	SIM	Não
Artes 	Presencial 	Fotografia Jornalística e Documental	72	382.75	a cadastrar	2021	Aperfeiçoamento	2024	2024.000002910-94	Não precificado	Sem cadastro no SIG DR		SIM	NUCOMP	SIM	Não
Artes 	Presencial 	Fotógrafo (190h)	190	1918	11579	2017	Qualificação Profissional	2024	2024.000002827-70	2025 / R$ 2.210,00	ok.		SIM	NUCOMP	SIM	Não
