SEGMENTO	 	TIPO	NÚMERO SEI	CÓDIGO SIG	MÊS DE ENTREGA	STATUS	ORIGEM	OBSERVAÇÃO	STATUS	
Ambiente e Saúde	Massagista	QUALIFICAÇÃO	2024.000005581-98	-	Março	PUBLICADO	Plano de Metas	Já precificado.Aguardando assinatura Diretor Plano de Curso	ENTREGUE - FALTAM ASSINATURAS NO PLANO DE CURSO (Diretoria).	
Gastronomia	Métodos de Preparo de Café	APERFEIÇOAMENTO	2025.000000522-69		Fevereiro	PUBLICADO	Comercial	Retificativo plano de metas 	PUBLICADO	
Ambiente e Saúde	Microagulhamento	APERFEIÇOAMENTO	2025.000000632-01		Março	PUBLICADO	Plano de Metas		CPED - Falta Parecer de Precificação e atualização de assinaturas nos Planos de Curso. Verificar com a Mari a necessidade reenserir o Plano de Curso para todos assinarem novamente. 	
Tecnologia e Games	Minecraft: lógica de programação	APERFEIÇOAMENTO	2025.000000081-03		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Mixologia: Criatividade e Tendência	APERFEIÇOAMENTO	2025.000000918-33		Fevereiro	 CPED - Ajuste de lista básica	Plano de Metas	"Retificativo plano de metas  / 
CPED, para resolver inconsistência na quantidade desejada."	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E NO SIG COMO RASCUNHO	
Moda e Costura	Modelagem de Malharia	APERFEIÇOAMENTO	2025.000000424-68		Fevereiro	PUBLICADO	Plano de Metas	Previsto Abril, entregue Fevereiro	ENTREGUE - Faltam assinaturas no Plano de Curso (Diretoria)	
Tecnologia e Games	No-Code Games	APERFEIÇOAMENTO	2025.000000080-14		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		CPED (Análise Despacho DEP - Plano de Curso antigo)	
Saúde, Massagem e Estética	Noções de Farmacologia e Interações Medicamentosas na Geriatria	APERFEIÇOAMENTO	2025.000000657-51		Março	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		CPED	
Saúde, Massagem e Estética	Noções em Farmacologia com Ênfase em Interações Medicamentosas e Uso Racional de Medicamentos	APERFEIÇOAMENTO	2025.000000652-47		Março	CPED (PRECIFICADO)/ NÃO ESTÁ NO SITE/SEM LISTA BÁSICA	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Nouvelle Cuisine	APERFEIÇOAMENTO	2025.000001157-91		Fevereiro	X	Plano de Metas	Em Processo de Elaboração	ENTREGUE - Faltam assinaturas no Plano de Curso (DEP e DIREG).	
Gastronomia	Padaria Artesanal 	APERFEIÇOAMENTO	2025.000002111-62			PUBLICADO	Projeto social em parceria com Lu  Alckmin		ENTREGUE - Faltam assinaturas no Plano de Curso (Diretoria)	
Ambiente e Saúde	NR 20 - reciclagem	AÇÃO EXTENSIVA	2025.000000705-93		Março	PUBLICADO	Comercial	Finalizado	PUBLICADO	
